scenario,NSH,scaling-factor
uniform-basecase,0.0,1.0
fx2fy2,0.0619,2.0
fx1fy2,0.1019,2.0
fx1fy1,0.1676,2.0
fx2fy0,0.2032,2.0
fx1fy0,0.3343,2.0
road-16x,0.4015,2.5
road-10x,0.5024,4.0
road-8x,0.5363,5.0
road-quad,0.6057,10.0
point-source-16x16,0.616,6.25
road-double,0.6433,20.0
road-single,0.6665,40.0
point-source-10x10,0.7681,16.0
point-source-8x8,0.8181,25.0
point-source-6x6,0.8678,44.44
point-source-4x4,0.9177,100.0
point-source-1x1,1.0,1600.0
