scenario,NSH,scaling-factor
uniform-basecase,0.0,1.0
fx2fy2,0.0621,2.0
fx1fy2,0.1018,2.0
fx1fy1,0.1671,2.0
fx2fy0,0.2027,2.0
fx1fy0,0.333,2.0
road-10x,0.5886,10.0
road-8x,0.6081,12.5
road-4x,0.6287,25.0
road-2x,0.6518,50.0
road-1x,0.6547,100.0
point-source-16x16,0.8395,39.06
point-source-10x10,0.9034,100.0
point-source-8x8,0.9137,156.25
point-source-4x4,0.9527,625.0
point-source-2x2,0.9788,2500.0
point-source-1x1,0.992,10000.0
